ref,name,description,published,authorised
club-CP81,CP81,,1,1
club-blofield,Blofield,,1,1
club-SOS,SOS,,1,1
club-APP,APP,,1,1
club-beccles,Beccles,,1,1
club-beccles63,Beccles 63,,1,1
club-besthorpe,Besthorpe,,1,1
club-breckland,Breckland,,1,1
club-eatoneagles,Eaton Eagles,,1,1
club-FBI,FBI,,1,1
club-lingwood,Lingwood,,1,1
club-midnorfolk,Mid-Norfolk,,1,1
club-tasburgh,Tasburgh,,1,1
club-teachers,Teachers BC,,1,1
club-YMCA,YMCA,,1,1
club-UEA,UEA Badminton Club,,1,1
club-kingslynn,King's Lynn BC,,1,1
club-psc,PSC,,1,1
club-stalham,Stalham,,1,1
